Vehicle 
BMW Active E
Nissan Leaf
Ford Focus
Mitsubishi I Miev
Nissan Leaf
Tesla Model S
Toyota Rav4 Ev
Fiat 500
Ford Focus
Honda Fit EV
Nissan Leaf
smart fortwo
Tesla Model S*
Toyota RAV4 EV
Toyota Scion Iq
BMW i3
Chevrolet Spark EV
Fiat 500
Ford Focus
Honda Fit EV
Mercedes-Benz B
Mitsubishi i-MiEV
Nissan Leaf
smart fortwo
Tesla Model S*
Toyota RAV4 EV
BMW i3
Chevrolet Spark EV
Fiat 500
Ford Focus
Kia Soul EV
Mercedes-Benz B
Nissan Leaf
smart fortwo
Tesla Model S*
Volkswagen e-Golf
BMW i3
Chevrolet Spark EV
Fiat 500
Ford Focus
Kia Soul EV
Mercedes-Benz B
Mitsubishi i-MiEV
Nissan Leaf*
smart fortwo
Tesla Model S*
Tesla Model X*
Volkswagen e-Golf
BMW i3*
Chevrolet Bolt Ev
Fiat 500
Ford Focus
Honda Clarity
Hyundai Ioniq
Kia Soul EV
Mercedes-Benz B
Mitsubishi i-MiEV
Nissan Leaf
smart fortwo*
Tesla Model 3
Tesla Model S*
Tesla Model X*
