County,Land_Surface_Area,Population,Public_Charging_Station,EVs_Per_County,Electric_Cost_KWhr
Adams,1924.98,18951,3,8,7.65
Asotin,636.21,21955,1,13,9.05
Benton,1700.38,182053,16,443,7.51
Chelan,2920.52,73664,14,263,3.22
Clallam,1738.33,72024,19,280,7.8
Clark,629,438272,58,2284,9.18
Columbia,868.63,4031,7,5,8.23
Cowlitz,1140.12,102072,31,179,7.29
Douglas,1819.26,39183,4,87,2.64
Ferry,2203.16,7657,1,7,9.37
Franklin,1242.17,84508,4,76,7.47
Garfield,710.69,2240,0,0,8.23
Grant,2679.51,91458,10,87,5.37
Grays Harbor,1902.03,71734,7,128,8.4
Island,208.45,78951,9,492,5.18
Jefferson,1803.7,29978,11,274,10.36
King,2115.56,2008997,738,26663,10.17
Kitsap,394.94,253614,29,1516,10.36
Kittitas,2297.27,41705,9,122,9.45
Klickitat,1871.31,20668,2,58,8.73
Lewis,2402.8,75382,5,115,8.51
Lincoln,2310.49,10409,1,4,7.98
Mason,959.42,60728,5,170,7.59
Okanogan,5267.97,41241,29,51,6.51
Pacific,932.66,20665,1,30,7.73
Pend Oreille,1399.99,12965,1,9,6.12
Pierce,1669.51,812689,96,2861,8.92
San Juan,173.91,15847,14,391,7.73
Skagit,1731.2,118364,23,483,10.36
Skamania,1655.68,11194,2,25,7.37
Snohomish,2087.27,735351,90,4940,8.44
Spokane,1763.79,476950,163,876,7.26
Stevens,2477.76,43541,465,31,8.48
Thurston,721.96,259330,47,1512,10.36
Wahkiakum,263.38,4016,2,6,8.55
Walla Walla,1270.13,59476,17,94,8.55
Whatcom,2106.86,204855,29,1213,9.28
Whitman,2159.09,46003,9,47,9.17
Yakima,4295.39,246402,47,162,8.23
